method,method_label,baseline,metric,paired_unit,n_units,mean_delta,median_delta,ci95_low,ci95_high,wilcoxon_statistic,p_value_raw,cohen_dz,p_value_holm
minmax_fusion,Min-max fusion,average_single,recall@100,dataset-budget-seed,112,0.04780241482001928,0.03596246236792966,0.04232745906305873,0.05336871029140781,0.0,4.094700747503043e-20,1.5977551102117198,6.542690135204943e-19
minmax_fusion,Min-max fusion,best_single,recall@100,dataset-budget-seed,112,0.010115563852283122,0.007860613841649378,0.008326061638419053,0.012046302823441393,63.0,9.389361076948614e-16,1.004226970349064,7.511488861558891e-15
validation_weighted_fusion,Validation-weighted fusion,bm25,ndcg@10,dataset-budget-seed,112,0.06827815794200628,0.043160260350830815,0.05902151982409161,0.07806939378524569,0.0,4.096357955947718e-20,1.3030840151882404,6.55211033727735e-19
validation_weighted_fusion,Validation-weighted fusion,dense,ndcg@10,dataset-budget-seed,112,0.03418105104679848,0.025978491506889773,0.030830345207532337,0.03789069707962126,0.0,4.096357955947718e-20,1.7927850416967226,6.55211033727735e-19
validation_weighted_fusion,Validation-weighted fusion,average_single,ndcg@10,dataset-budget-seed,112,0.05122960449440239,0.03895114928461618,0.04634426383844658,0.05619447285451869,0.0,4.096357955947718e-20,1.9591472339296838,6.55211033727735e-19
validation_weighted_fusion,Validation-weighted fusion,best_single,ndcg@10,dataset-budget-seed,112,0.027649840928999754,0.02529145418180842,0.02609575283705155,0.02932252751141365,0.0,4.096357955947718e-20,3.0873229043799872,6.55211033727735e-19
validation_weighted_fusion,Validation-weighted fusion,bm25,mrr@10,dataset-budget-seed,112,0.07065528468774428,0.03747700514714786,0.05944557662954844,0.08266384385184072,0.0,4.096357955947718e-20,1.09976755088144,6.55211033727735e-19
validation_weighted_fusion,Validation-weighted fusion,dense,mrr@10,dataset-budget-seed,112,0.03952473330982883,0.03543564615078021,0.035857918021449005,0.04339916775940298,0.0,4.096357955947718e-20,1.9470500022572625,6.55211033727735e-19
validation_weighted_fusion,Validation-weighted fusion,average_single,mrr@10,dataset-budget-seed,112,0.055090008998786556,0.04180203064131649,0.04929723778799606,0.06111748120361021,0.0,4.096357955947718e-20,1.7031109199976664,6.55211033727735e-19
validation_weighted_fusion,Validation-weighted fusion,best_single,mrr@10,dataset-budget-seed,112,0.029679227341873882,0.030556064306064334,0.027851943604469295,0.031521348254275855,0.0,4.096357955947718e-20,3.0382165507379795,6.55211033727735e-19
validation_weighted_fusion,Validation-weighted fusion,bm25,recall@100,dataset-budget-seed,112,0.08447768307398287,0.062438149117622355,0.07325693067033372,0.09627340985768752,2.0,4.3227776699011856e-20,1.325408218436028,6.542690135204943e-19
validation_weighted_fusion,Validation-weighted fusion,dense,recall@100,dataset-budget-seed,112,0.00933902387355329,0.002398583130967677,0.006879168991259025,0.012041470701376917,31.0,1.5009805611261372e-11,0.6686849352711501,9.005883366756823e-11
validation_weighted_fusion,Validation-weighted fusion,average_single,recall@100,dataset-budget-seed,112,0.04690835347376808,0.04053033348819604,0.041303483792537087,0.05276316666661408,2.0,4.321807234588131e-20,1.4740665294851631,6.542690135204943e-19
validation_weighted_fusion,Validation-weighted fusion,best_single,recall@100,dataset-budget-seed,112,0.009221502506031922,0.002398583130967677,0.006802097182984068,0.011914933871574647,53.0,2.6925638753803094e-11,0.6634967907455105,1.3462819376901546e-10
