budget,method,count,mean_ndcg@10,std_ndcg@10,mean_mrr@10,std_mrr@10,mean_recall@100,std_recall@100,mean_latency_query_ms,mean_dense_weight,mean_ndcg_delta_vs_average_single,mean_mrr_delta_vs_average_single,mean_ndcg_regret_vs_best_single,mean_worst_case_regret_reduction,method_label
50,validation_weighted_fusion,28,0.45803593992229075,0.14925024747848517,0.4909221300214664,0.1529554047939785,0.6927110300687385,0.29181131236906693,87.34273172736182,0.6535714285714286,0.051242280233747314,0.055755256084911206,-0.027662516668344676,2.4079873444791358,Validation-weighted fusion
50,zscore_fusion,28,0.44899036053479974,0.1567156499259991,0.4784090225390466,0.1577276673961371,0.6969800485505047,0.29180204439084156,87.34273172736182,,0.04219670084625636,0.04324214860249137,-0.018616937280853722,2.323010332547667,Z-score fusion
100,bm25,28,0.3897451062409395,0.16969056485291162,0.41960159824759746,0.1692314422874607,0.6445731161034992,0.2973595113700776,64.89612033267576,,-0.017048553447603903,-0.015565275688957726,0.040628317013006544,0.2857142857142857,BM25
100,dense,28,0.42384221313614734,0.13156967381601778,0.4507321496255129,0.13515164388132533,0.7298680586581087,0.2693231816361251,22.446611394686048,,0.017048553447603913,0.015565275688957722,0.006531210117798725,0.7142857142857143,Dense
100,minmax_fusion,28,0.44974731082763036,0.1521635164647647,0.4802421511278112,0.15522783776359378,0.7380847483348015,0.2683682911232142,87.34273172736182,,0.04295365113908701,0.045075277191256036,-0.019373887573684374,2.50906212429488,Min-max fusion
100,rrf,28,0.4415271760431139,0.14676277744707994,0.4692892370167384,0.14960263385494285,0.7382041259301021,0.27258416183196654,87.34273172736182,,0.03473351635457048,0.034122363080183196,-0.011153752789167847,2.136340455262988,RRF
100,validation_weighted_fusion,28,0.4599024350394417,0.148246547978093,0.4914197459328059,0.15186653946259418,0.734644593760139,0.2684655652402172,87.34273172736182,0.6892857142857143,0.05310877535089832,0.05625287199625074,-0.029529011785495683,2.555768107619898,Validation-weighted fusion
100,zscore_fusion,28,0.44744334362645316,0.15553203585142802,0.4782366558390643,0.15878385524451333,0.738190796161284,0.2728224793458111,87.34273172736182,,0.04064968393790972,0.043069781902509076,-0.017069920372507087,2.3976153981553407,Z-score fusion
200,bm25,28,0.3897451062409395,0.16969056485291162,0.41960159824759746,0.1692314422874607,0.6445731161034992,0.2973595113700776,64.89612033267576,,-0.017048553447603903,-0.015565275688957726,0.040628317013006544,0.2857142857142857,BM25
200,dense,28,0.42384221313614734,0.13156967381601778,0.4507321496255129,0.13515164388132533,0.7298680586581087,0.2693231816361251,22.446611394686048,,0.017048553447603913,0.015565275688957722,0.006531210117798725,0.7142857142857143,Dense
200,minmax_fusion,28,0.4513681759426584,0.15377480314871572,0.48096601195220245,0.15553382149370135,0.7393247995897492,0.2715696321985349,87.34273172736182,,0.04457451625411498,0.04579913801564724,-0.020994752688712346,2.5204654185014888,Min-max fusion
200,rrf,28,0.4427947347705606,0.14758789775195244,0.46987392820022256,0.149968588233593,0.7394292599213148,0.27459992408503037,87.34273172736182,,0.03600107508201718,0.034707054263667346,-0.012421311516614545,2.194928082028441,RRF
200,validation_weighted_fusion,28,0.46106100219121615,0.15088229312740992,0.4912677514506779,0.1527641262271761,0.7428730023398747,0.2722967840397954,87.34273172736182,0.6892857142857143,0.054267342502672754,0.05610087751412272,-0.03068757893727012,2.4713196474640475,Validation-weighted fusion
200,zscore_fusion,28,0.4485503307390014,0.15778546563071053,0.4773745045952058,0.15915027781925892,0.7371692595340341,0.2741062579354772,87.34273172736182,,0.04175667105045801,0.04220763065865062,-0.01817690748505537,2.3800855155503875,Z-score fusion
