dataset,budget,method,count,mean_ndcg@10,std_ndcg@10,mean_mrr@10,std_mrr@10,mean_recall@100,std_recall@100,mean_latency_query_ms,mean_dense_weight,mean_ndcg_delta_vs_average_single,mean_mrr_delta_vs_average_single,mean_ndcg_regret_vs_best_single,mean_worst_case_regret_reduction,method_label
fiqa,20,bm25,7,0.23443581813011485,0.010042022785618086,0.2937373761856286,0.012376220290898618,0.3571002772818178,0.00935801059906612,58.2415635972211,,-0.06523543261053459,-0.0732683493033001,0.13047086522106924,0.0,BM25
fiqa,20,dense,7,0.36490668335118404,0.012055396382812498,0.44027407479222885,0.012110952280958863,0.5173975922279281,0.015542526189317589,58.79607191976296,,0.06523543261053463,0.0732683493033001,0.0,1.0,Dense
fiqa,20,minmax_fusion,7,0.35937643384051465,0.012830206855013078,0.4301976451704989,0.014034471895277392,0.5244268625843108,0.013195189432979525,117.03763551698408,,0.059705183099865174,0.06319191968157016,0.005530249510669454,0.9584667821955511,Min-max fusion
fiqa,20,rrf,7,0.3517085837547161,0.012419958249929917,0.422375323842918,0.015027492743854913,0.5171237878737031,0.013392686873278445,117.03763551698408,,0.05203733301406667,0.055369598353989254,0.013198099596467958,0.8996617131236411,RRF
fiqa,20,validation_weighted_fusion,7,0.38742910521232465,0.01306449909105152,0.473123326923802,0.011445785370045048,0.5173975922279281,0.015542526189317589,117.03763551698408,0.9,0.0877578544716752,0.10611760143487324,-0.02252242186114057,1.173626819921523,Validation-weighted fusion
fiqa,20,zscore_fusion,7,0.3584374828957802,0.012272665136430602,0.4331246196023936,0.013628735538919464,0.5237189967593768,0.012977202336608127,117.03763551698408,,0.058766232155130764,0.06611889411346487,0.006469200455403866,0.9515327659171648,Z-score fusion
fiqa,50,bm25,7,0.23443581813011485,0.010042022785618086,0.2937373761856286,0.012376220290898618,0.4480565498295393,0.010882291770642972,58.2415635972211,,-0.06523543261053459,-0.0732683493033001,0.13047086522106924,0.0,BM25
fiqa,50,dense,7,0.36490668335118404,0.012055396382812498,0.44027407479222885,0.012110952280958863,0.6266074271842851,0.013411263591494454,58.79607191976296,,0.06523543261053463,0.0732683493033001,0.0,1.0,Dense
fiqa,50,minmax_fusion,7,0.35899080253706267,0.010800310243333056,0.43121778402572425,0.013628939266158694,0.6312231711281593,0.014079066818805675,117.03763551698408,,0.05931955179641326,0.06421205853679555,0.005915880814121366,0.9550399855330199,Min-max fusion
fiqa,50,rrf,7,0.35127176225750656,0.012313364672654235,0.42236078120876214,0.016051976785647834,0.6213366036745744,0.01267942463834092,117.03763551698408,,0.051600511516857135,0.05535505571983346,0.013634921093677492,0.8956347439772298,RRF
fiqa,50,validation_weighted_fusion,7,0.39189556757753996,0.013379607780243916,0.47361198636224083,0.012752040775660129,0.6266074271842851,0.013411263591494454,117.03763551698408,0.9,0.09222431683689056,0.10660626087331213,-0.026988884226355925,1.207198370099103,Validation-weighted fusion
fiqa,50,zscore_fusion,7,0.35550873955572626,0.010888985025565302,0.4286293298000118,0.01404694465338445,0.6200528122482653,0.014120186496107575,117.03763551698408,,0.055837488815076844,0.06162360431108308,0.009397943795457784,0.9284709718466518,Z-score fusion
fiqa,100,bm25,7,0.23443581813011485,0.010042022785618086,0.2937373761856286,0.012376220290898618,0.5052441733133962,0.008205609179145243,58.2415635972211,,-0.06523543261053459,-0.0732683493033001,0.13047086522106924,0.0,BM25
fiqa,100,dense,7,0.36490668335118404,0.012055396382812498,0.44027407479222885,0.012110952280958863,0.7038168199858054,0.00838195048363938,58.79607191976296,,0.06523543261053463,0.0732683493033001,0.0,1.0,Dense
fiqa,100,minmax_fusion,7,0.35176801527736606,0.011167154228976801,0.42673851805171786,0.01358627720756723,0.7088299891489575,0.00805672145357733,117.03763551698408,,0.052096764536716654,0.05973279256278918,0.013138668073817972,0.8999286976745912,Min-max fusion
fiqa,100,rrf,7,0.34633364905675024,0.012581405013330398,0.41971577229466606,0.016727300682553087,0.6934009379377549,0.009858749990614491,117.03763551698408,,0.04666239831610082,0.05271004680573732,0.018573034294433806,0.8576637938261816,RRF
fiqa,100,validation_weighted_fusion,7,0.3910746525461023,0.013196039995458918,0.47305748110804097,0.01265434791625032,0.7038168199858054,0.00838195048363938,117.03763551698408,0.9,0.0914034018054529,0.10605175561911226,-0.02616796919491826,1.2008646025590082,Validation-weighted fusion
fiqa,100,zscore_fusion,7,0.3480760136989412,0.011436555282110973,0.42312884773862036,0.014553712450149692,0.6971981813006584,0.009689291070895601,117.03763551698408,,0.04840476295829176,0.05612312224969164,0.016830669652242867,0.8715366823357488,Z-score fusion
fiqa,200,bm25,7,0.23443581813011485,0.010042022785618086,0.2937373761856286,0.012376220290898618,0.5052441733133962,0.008205609179145243,58.2415635972211,,-0.06523543261053459,-0.0732683493033001,0.13047086522106924,0.0,BM25
fiqa,200,dense,7,0.36490668335118404,0.012055396382812498,0.44027407479222885,0.012110952280958863,0.7038168199858054,0.00838195048363938,58.79607191976296,,0.06523543261053463,0.0732683493033001,0.0,1.0,Dense
