budget,dataset,dense_weight,latency_query_ms,method,mrr@10,ndcg@10,recall@100,seed,split,test_query_count,validation_mrr@10,validation_ndcg@10,validation_query_count
200,scifact,,5.8914951966774725,bm25,0.6620492470492471,0.6889792845861449,0.9082051282051282,181,test,195,,,105
200,scifact,,15.571033540012044,dense,0.6004680504680504,0.6469522986323201,0.9282051282051282,181,test,195,,,105
200,scifact,,21.462528736689517,rrf,0.6696682946682947,0.7075474214202767,0.9641025641025641,181,test,195,,,105
200,scifact,,21.462528736689517,zscore_fusion,0.7035775335775335,0.7322804287615718,0.9538461538461539,181,test,195,,,105
200,scifact,,21.462528736689517,minmax_fusion,0.701949531949532,0.7302259748850467,0.9435897435897436,181,test,195,,,105
200,scifact,0.8,21.462528736689517,validation_weighted_fusion,0.6925132275132276,0.7291135303615806,0.9435897435897436,181,test,195,0.6424300831443689,0.6836152283819087,105
20,nfcorpus,,0.7949502941196851,bm25,0.5429875283446712,0.3265169059796161,0.19102483765926986,19,test,210,,,113
20,nfcorpus,,9.58392150155319,dense,0.538879440665155,0.33778386570807667,0.2092611412174154,19,test,210,,,113
20,nfcorpus,,10.378871795672875,rrf,0.5709580498866214,0.36062012309481345,0.22713201374839695,19,test,210,,,113
20,nfcorpus,,10.378871795672875,zscore_fusion,0.5720408163265306,0.3599216751430492,0.22122795432099945,19,test,210,,,113
20,nfcorpus,,10.378871795672875,minmax_fusion,0.572108843537415,0.3639091206953504,0.22062684092094012,19,test,210,,,113
20,nfcorpus,0.3,10.378871795672875,validation_weighted_fusion,0.5692309145880574,0.3543334331451298,0.20892154876172037,19,test,210,0.5227981458069954,0.30861939374869474,113
20,nfcorpus,,0.7949502941196851,bm25,0.5109504913076341,0.29636301648784547,0.1753434814146614,31,test,210,,,113
20,nfcorpus,,9.58392150155319,dense,0.5078004535147392,0.3063851536894775,0.18493011668638518,31,test,210,,,113
20,nfcorpus,,10.378871795672875,rrf,0.5392441421012849,0.32776477307332114,0.2104459266504631,31,test,210,,,113
20,nfcorpus,,10.378871795672875,zscore_fusion,0.5373828420256992,0.3247611660223208,0.2069076582059133,31,test,210,,,113
20,nfcorpus,,10.378871795672875,minmax_fusion,0.538034769463341,0.3283539358457,0.20423673952779117,31,test,210,,,113
20,nfcorpus,0.5,10.378871795672875,validation_weighted_fusion,0.5373828420256992,0.3247611660223208,0.2069076582059133,31,test,210,0.5485812614131198,0.36621947911104297,113
20,nfcorpus,,0.7949502941196851,bm25,0.5076832955404383,0.30053749818305053,0.1730063437981727,47,test,210,,,113
20,nfcorpus,,9.58392150155319,dense,0.5100302343159486,0.30907019620531945,0.19042402114752532,47,test,210,,,113
20,nfcorpus,,10.378871795672875,rrf,0.5496749811035525,0.3309599515593912,0.21061100355082438,47,test,210,,,113
20,nfcorpus,,10.378871795672875,zscore_fusion,0.5328136810279668,0.3298667431783568,0.20668280835527883,47,test,210,,,113
20,nfcorpus,,10.378871795672875,minmax_fusion,0.5476568405139833,0.3388981242493358,0.2056233475233793,47,test,210,,,113
20,nfcorpus,0.2,10.378871795672875,validation_weighted_fusion,0.5386035525321239,0.3221430613515083,0.18822546813514598,47,test,210,0.5597555836493889,0.36076887695018683,113
20,nfcorpus,,0.7949502941196851,bm25,0.5038340891912321,0.2977828505189236,0.17733968049363505,73,test,210,,,113
20,nfcorpus,,9.58392150155319,dense,0.5035733182161753,0.3098509009099439,0.18227025782510192,73,test,210,,,113
20,nfcorpus,,10.378871795672875,rrf,0.5439399092970522,0.33070415038868367,0.20916210353800813,73,test,210,,,113
20,nfcorpus,,10.378871795672875,zscore_fusion,0.5361054421768707,0.32682757444170807,0.20341456346573572,73,test,210,,,113
20,nfcorpus,,10.378871795672875,minmax_fusion,0.5453949357520786,0.33276799308640365,0.1986968753876389,73,test,210,,,113
20,nfcorpus,0.5,10.378871795672875,validation_weighted_fusion,0.5361054421768707,0.32682757444170807,0.20341456346573572,73,test,210,0.5509551903357213,0.3623792510750136,113
20,nfcorpus,,0.7949502941196851,bm25,0.525587679516251,0.3124397032108829,0.1860408288999355,109,test,210,,,113
20,nfcorpus,,9.58392150155319,dense,0.5208578987150415,0.32101781638524046,0.1957178327913223,109,test,210,,,113
20,nfcorpus,,10.378871795672875,rrf,0.556201814058957,0.34632694762199634,0.21631127104894537,109,test,210,,,113
20,nfcorpus,,10.378871795672875,zscore_fusion,0.5467063492063492,0.3446837071615716,0.21083127317246664,109,test,210,,,113
20,nfcorpus,,10.378871795672875,minmax_fusion,0.5562150415721844,0.3503090535539713,0.20982693381615816,109,test,210,,,113
20,nfcorpus,0.3,10.378871795672875,validation_weighted_fusion,0.5628099017384732,0.34062432288501476,0.1985097642191626,109,test,210,0.5347310015451608,0.33409650131174035,113
20,nfcorpus,,0.7949502941196851,bm25,0.5218310657596372,0.31198225667913215,0.17181465093270745,149,test,210,,,113
20,nfcorpus,,9.58392150155319,dense,0.5190759637188208,0.3257221095640513,0.1892992259931311,149,test,210,,,113
20,nfcorpus,,10.378871795672875,rrf,0.5483314436885866,0.347544114289594,0.2077159569259574,149,test,210,,,113
20,nfcorpus,,10.378871795672875,zscore_fusion,0.5488586545729404,0.34507289405162384,0.2022505593708654,149,test,210,,,113
20,nfcorpus,,10.378871795672875,minmax_fusion,0.5477702191987905,0.34993668772056113,0.20458822833805762,149,test,210,,,113
20,nfcorpus,0.4,10.378871795672875,validation_weighted_fusion,0.5546995464852608,0.3379022516109647,0.19190100257339784,149,test,210,0.5461862621154657,0.3371878511665173,113
20,nfcorpus,,0.7949502941196851,bm25,0.5214928193499622,0.31016502378112504,0.16122856623974302,181,test,210,,,113
20,nfcorpus,,9.58392150155319,dense,0.4950755857898715,0.30513755225580835,0.1726420648401135,181,test,210,,,113
20,nfcorpus,,10.378871795672875,rrf,0.5459372637944067,0.33807713225395886,0.19746300781635584,181,test,210,,,113
20,nfcorpus,,10.378871795672875,zscore_fusion,0.5371636432350718,0.3335377213879822,0.19289313848335476,181,test,210,,,113
20,nfcorpus,,10.378871795672875,minmax_fusion,0.5451379440665155,0.3396975835693406,0.190297824270607,181,test,210,,,113
